https://arxiv.org/pdf/1510.04196.pdf Fig4
Er [MeV]		dN_dEr [1 / (400keV 10t yr)]
3.036520140397790		0.241935483870967
3.059752632458630		0.161290322580640
3.085659368209920		0.161290322580640
3.108975430386090		0.161290322580640
3.129700818987120		0.161290322580640
3.150426207588160		0.161290322580640
3.176291158281790		0.120967741935480
3.196974761825170		0.080645161290327
3.217700150426200		0.080645161290320
3.238425539027240		0.080645161290320
3.261699816145740		0.040322580645160
3.285015878321910		0.040322580645153
3.305741266922940		0.040322580645160
3.326466655523980		0.040322580645153
3.349782717700150		0.040322580645160
3.370549891358850		0.080645161290306
3.393824168477350		0.040322580645160
3.417140230653510		0.040322580645160
3.440456292829680		0.040322580645160
3.466363028580970		0.040322580645160
3.487088417182010		0.040322580645160
3.507813805783050		0.040322580645160
